Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
OrderSearch,Chrome 89.0.4389.90,,,2021-04-02 19:18:59,2021-04-02 19:19:51,52.130s,FAILED
,,,,,,,
Test Cases/OrderSearch,Chrome 89.0.4389.90,,,2021-04-02 19:19:02,2021-04-02 19:19:27,25.131s,FAILED
"openBrowser("""")",Chrome 89.0.4389.90,,,2021-04-02 19:19:03,2021-04-02 19:19:05,2.771s,PASSED
"navigateToUrl(""https://dev-recycling-portal.azurewebsites.net/account/singlesignon?logintoken=pals.wadhe@gmail.com"")",Chrome 89.0.4389.90,,,2021-04-02 19:19:05,2021-04-02 19:19:26,21.097s,PASSED
"click(findTestObject(""Object Repository/OrderSearch/Page_My Account - GP Recycling/a_I Agree""))",Chrome 89.0.4389.90,,,2021-04-02 19:19:26,2021-04-02 19:19:27,0.294s,PASSED
"click(findTestObject(""OrderSearch/Page_My Account - GP Recycling/Page_My Account - GP Recycling/a_Orders""))",Chrome 89.0.4389.90,,,2021-04-02 19:19:27,2021-04-02 19:19:27,0.503s,FAILED
,,,,,,,
Test Cases/OrderSearch,Chrome 89.0.4389.90,,,2021-04-02 19:19:27,2021-04-02 19:19:51,23.285s,FAILED
"openBrowser("""")",Chrome 89.0.4389.90,,,2021-04-02 19:19:27,2021-04-02 19:19:30,2.291s,PASSED
"navigateToUrl(""https://dev-recycling-portal.azurewebsites.net/account/singlesignon?logintoken=pals.wadhe@gmail.com"")",Chrome 89.0.4389.90,,,2021-04-02 19:19:30,2021-04-02 19:19:50,20.205s,PASSED
"click(findTestObject(""Object Repository/OrderSearch/Page_My Account - GP Recycling/a_I Agree""))",Chrome 89.0.4389.90,,,2021-04-02 19:19:50,2021-04-02 19:19:50,0.235s,PASSED
"click(findTestObject(""OrderSearch/Page_My Account - GP Recycling/Page_My Account - GP Recycling/a_Orders""))",Chrome 89.0.4389.90,,,2021-04-02 19:19:50,2021-04-02 19:19:51,0.456s,FAILED
